experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,1203.5716618123488,2018.9365562000312,0.0,26.0,1.3076923076923077,136.0,34.0,0.25,160158.0,57.0,0.00035589855018169556,176.0,299.03382586330156,22.228745488371143,706.309090460676,0.0,0.0,0.14623142566764796,0.24845535612978276,0.018468983770271646,0.5868442344322976,0.0,0.0,74.0,1268.4147664640125,3.859835510956121
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,1845.727112528279,1849.3294488999527,0.0,24.0,1.2916666666666667,136.0,31.0,0.22794117647058823,160158.0,56.0,0.0003496547159679816,198.0,395.2396759832478,17.473342387157864,1235.0140941578732,0.0,0.0,0.10727479628815735,0.2141376551823244,0.009466915379068611,0.6691206331504497,0.0,0.0,74.0,2133.4444520610946,5.126187360773236
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,2443.0321529402518,1850.055531800026,0.0,24.0,1.25,136.0,30.0,0.22058823529411764,160158.0,56.0,0.0003496547159679816,198.0,462.33783781749264,19.45775322089125,1763.2365619018676,0.0,0.0,0.08104682525839946,0.18924754521182097,0.007964591541488042,0.7217410379882914,0.0,0.0,74.0,2968.6951380635746,5.939515343176408
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,3644.963936992182,2019.0011344000231,0.0,24.0,1.2916666666666667,136.0,31.0,0.22794117647058823,160158.0,56.0,0.0003496547159679816,198.0,530.3211987831171,18.717940963756693,2897.924797245308,0.0,0.0,0.05432152510221796,0.14549422379765362,0.005135288383457288,0.7950489627166711,0.0,0.0,74.0,4601.666312555321,7.38518826338683
5.1,deterministic,large_150c_9v_seed3.json,large,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,6789.820017713006,2409.176696700044,0.0,28.0,1.2857142857142858,136.0,36.0,0.2647058823529412,160158.0,56.0,0.0003496547159679816,198.0,406.80162887761287,24.711298366889306,6160.307090468504,0.0,0.0,0.029161303169077484,0.059913462774619265,0.0036394629463554966,0.9072857711099478,0.0,0.0,74.0,8407.672882213024,13.845173740188672
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,311.3601029956373,1173.819250700064,0.0,6.0,1.5,57.0,9.0,0.15789473684210525,80462.0,18.0,0.00022370808580447914,66.0,109.26730466428779,6.152549564778203,129.9402487665713,0.0,0.0,0.21197320840083603,0.35093547186364726,0.019760237440775805,0.41733108229474086,0.0,0.0,75.0,392.0048066091416,1.2542157482751337
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,443.60413037872274,1107.7337523000315,0.0,9.0,1.7777777777777777,57.0,16.0,0.2807017543859649,80462.0,19.0,0.00023613631279361687,66.0,105.42300997614699,9.11597184725402,263.06514855532174,0.0,0.0,0.14878130179638574,0.2376511009627956,0.020549790281419036,0.5930178069593997,0.0,0.0,75.0,607.2865474879176,5.234818894271651
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,559.2333581081789,1361.7157839001156,0.0,10.0,1.5,57.0,15.0,0.2631578947368421,80462.0,20.0,0.0002485645397827546,88.0,134.55464590765672,9.495664854047128,327.183047346475,0.0,0.0,0.15735828116136297,0.24060554320800778,0.0169797897717866,0.5850563858588426,0.0,0.0,75.0,867.8844503489174,1.944665800952757
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,790.2161233124597,981.8211036000866,0.0,8.0,1.0,57.0,8.0,0.14035087719298245,80462.0,20.0,0.0002485645397827546,88.0,157.34097919534392,5.5266809807682336,539.3484631363475,0.0,0.0,0.11136193935289256,0.19911132480541613,0.006993885365944282,0.682532850475747,0.0,0.0,75.0,1316.9358694144892,3.323413324863619
5.1,deterministic,medium_60c_4v_seed1.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,1311.4490495973473,1437.6053359999787,0.0,9.0,1.2222222222222223,57.0,11.0,0.19298245614035087,80462.0,20.0,0.0002485645397827546,88.0,146.77888377052918,7.508115090418577,1069.1620507363996,0.0,0.0,0.06710134871577247,0.11192114845452404,0.005725052828185574,0.8152524500015179,0.0,0.0,75.0,2386.047697528871,4.391605028545681
