experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.3,deterministic,small_15c_1v_seed1.json,small,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,3,2043,1,2026,59.30929423770266,26.728667499963194,0.0,1.0,2.0,3.0,2.0,0.6666666666666666,482.0,2.0,0.004149377593360996,22.0,20.454309750692488,1.1129914879223946,15.741992999087778,0.0,0.0,0.3709368031227506,0.34487528495474445,0.018765886565125754,0.2654220253573792,0.0,0.0,73.33333333333333,67.15579311657231,0.0
5.3,deterministic,small_15c_1v_seed1.json,small,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,5,2060,1,2026,58.50663076846447,28.763967599952593,0.0,3.0,1.0,5.0,3.0,0.6,1038.0,4.0,0.0038535645472061657,22.0,13.571694213369536,2.190278266719161,20.744658288375767,0.0,0.0,0.376025754876628,0.23196848006986562,0.03743641084695204,0.35456935420655433,0.0,0.0,73.33333333333333,61.436946630661396,0.1623426432191905
5.3,deterministic,small_15c_1v_seed1.json,small,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,8,2077,1,2026,55.73682184246728,40.72770899999887,0.0,3.0,1.3333333333333333,8.0,4.0,0.5,2310.0,6.0,0.0025974025974025974,22.0,13.356501951932199,2.5160867789833286,17.864233111551744,0.0,0.0,0.39471213594094184,0.23963515518847803,0.04514227212478518,0.3205104367457948,0.0,0.0,73.33333333333333,60.99959519767209,7.105427357601002e-15
5.3,deterministic,small_15c_1v_seed1.json,small,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,11,2094,1,2026,57.75333136580255,57.36701799998991,0.0,3.0,1.3333333333333333,11.0,4.0,0.36363636363636365,4398.0,4.0,0.0009095043201455207,22.0,14.20909369491024,2.4208465479523373,19.12339112293998,0.0,0.0,0.380930406605546,0.246030719940839,0.04191700272005074,0.33112187073356436,0.0,0.0,73.33333333333333,62.09502095506345,0.3128434304690645
5.3,deterministic,small_15c_1v_seed1.json,small,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,15,2111,1,2026,56.26215705960893,134.6342430000659,0.0,5.0,1.0,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,11.495868733880044,3.0638732061284526,19.70241511960043,0.0,0.0,0.3910266002899839,0.2043268394722289,0.05445708743236282,0.3501894728054243,0.0,0.0,73.33333333333333,59.75492747024314,0.02848737228010905
5.3,deterministic,small_15c_1v_seed2.json,small,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,3,2043,1,2026,74.42310254779927,25.73024329985492,0.0,1.0,1.0,2.0,1.0,0.5,198.0,0.0,0.0,22.0,24.799372175624857,0.4457922371534527,27.17793813502097,0.0,0.0,0.295607133361179,0.33322142354515677,0.005989971149981774,0.36518147194368256,0.0,0.0,53.333333333333336,102.78890130644015,0.0035119313388487505
5.3,deterministic,small_15c_1v_seed2.json,small,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,5,2060,1,2026,72.88200559005806,28.336658399784938,0.0,2.0,1.5,5.0,3.0,0.6,742.0,2.0,0.0026954177897574125,22.0,22.440479320493875,1.7335127823096692,26.70801348725451,0.0,0.0,0.30185777438321554,0.30790150653531156,0.023785195924220563,0.36645552315725227,0.0,0.0,53.333333333333336,101.32377117423118,0.0
5.3,deterministic,small_15c_1v_seed2.json,small,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,8,2077,1,2026,73.23649007679475,29.572194600012153,0.0,2.0,1.0,7.0,2.0,0.2857142857142857,768.0,4.0,0.005208333333333333,22.0,21.187184341198865,1.3066618951610647,28.74264384043483,0.0,0.0,0.30039670083767134,0.28929819436980503,0.017841678291667412,0.3924634265008563,0.0,0.0,53.333333333333336,99.3719593512715,0.8531329826374207
5.3,deterministic,small_15c_1v_seed2.json,small,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,11,2094,1,2026,73.05161592844425,44.798668399918824,0.0,2.0,1.0,10.0,2.0,0.2,3054.0,4.0,0.0013097576948264572,22.0,23.186567426099206,1.2415963334875186,26.623452168857522,0.0,0.0,0.3011569247359225,0.31739978823755227,0.01699615152529536,0.36444713550122987,0.0,0.0,53.333333333333336,101.36752854622848,0.1603621332385132
5.3,deterministic,small_15c_1v_seed2.json,small,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,15,2111,1,2026,73.5557314345551,63.738394800107926,0.0,2.0,1.0,13.0,2.0,0.15384615384615385,5654.0,4.0,0.0007074637424831977,22.0,23.5501390499429,1.2975788973576838,26.70801348725451,0.0,0.0,0.29909294042673085,0.32016728799571814,0.017640758538472037,0.36309901303907893,0.0,0.0,53.333333333333336,102.18758111090304,0.10312755537875362
