experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,326.4314376236389,2051.7327581001446,0.0,9.0,1.2222222222222223,56.0,11.0,0.19642857142857142,60869.0,21.0,0.0003450032036011763,66.0,104.67768082786075,6.742161951743591,149.01159484403453,0.0,0.0,0.20218640851649558,0.3206727930063817,0.020654144100903073,0.4564866543762196,0.0,0.0,76.66666666666667,369.5250305109887,0.4505034677411552
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,333.9239021115682,1786.3548169001006,0.0,6.0,1.1666666666666667,56.0,7.0,0.125,60869.0,18.0,0.0002957170316581511,88.0,105.24316436311209,4.666096406450093,136.01464134200603,0.0,0.0,0.26353309674309594,0.31517110245060864,0.013973532223791187,0.4073222685825042,0.0,0.0,76.66666666666667,390.9172666548626,2.570508761765676
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,322.087524814077,2087.0757730000187,0.0,10.0,1.1,56.0,11.0,0.19642857142857142,60869.0,20.0,0.0003285744796201679,88.0,86.39852887658867,6.9305273854725895,140.75846855201578,0.0,0.0,0.27321766048156454,0.26824549918989155,0.021517528160934492,0.4370193121676095,0.0,0.0,76.66666666666667,373.55926925058077,0.5699821418193015
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,306.5595140497728,2375.471468700096,0.0,10.0,1.2,56.0,12.0,0.21428571428571427,60869.0,19.0,0.0003121457556391595,66.0,76.44517892898496,8.350304375088367,155.76403074569953,0.0,0.0,0.21529261684986975,0.24936488813905597,0.02723877091523774,0.5081037240958367,0.0,0.0,76.66666666666667,338.70994592333767,1.2466078265232865
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,267.01821634576993,1670.97993650008,0.0,11.0,1.6363636363636365,59.0,18.0,0.3050847457627119,73722.0,27.0,0.0003662407422479043,66.0,64.95314723068728,7.319093428095666,128.74597568698695,0.0,0.0,0.24717414752907574,0.2432536181223587,0.027410464829927376,0.48216176951863804,0.0,0.0,70.0,351.8526075781132,2.3615448033846076
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,288.54356932204155,1542.891473900061,0.0,10.0,1.6,59.0,16.0,0.2711864406779661,73722.0,26.0,0.00035267627031279673,66.0,69.4862979516746,7.5528057205369405,145.50446564982997,0.0,0.0,0.22873495380636205,0.24081735079017272,0.02617561617568855,0.5042720792277765,0.0,0.0,70.0,354.0414269452725,1.5825905883986302
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,282.2782154028447,1438.678678700002,0.0,7.0,1.4285714285714286,59.0,10.0,0.1694915254237288,73722.0,26.0,0.00035267627031279673,66.0,89.5004670900129,5.4429834999252575,121.33476481290653,0.0,0.0,0.23381187919801083,0.3170647333244794,0.019282336372140763,0.429841051105369,0.0,0.0,70.0,361.6910532038543,2.6616604416986633
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,275.25904424008144,1391.5924017000943,0.0,10.0,1.2,59.0,12.0,0.2033898305084746,73722.0,25.0,0.00033911179837768917,66.0,74.07359506789409,7.272747871692402,127.91270130049499,0.0,0.0,0.23977413778431447,0.2691050362119508,0.026421467428147785,0.4646993585755871,0.0,0.0,70.0,359.4776777075088,2.6296572888496947
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,281.79683434558774,1202.1604085001163,0.0,12.0,1.0,59.0,12.0,0.2033898305084746,73722.0,24.0,0.0003255473264425816,66.0,80.59617068914919,8.522783178683378,126.67788047775521,0.0,0.0,0.2342112896806337,0.2860080769761533,0.03024442484769462,0.44953620849551845,0.0,0.0,70.0,354.2392472071385,3.405994169621017
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,282.66171057288363,1075.2752584998962,0.0,8.0,1.0,59.0,8.0,0.13559322033898305,73722.0,24.0,0.0003255473264425816,66.0,81.74042947114181,5.6112245451085885,129.31005655663327,0.0,0.0,0.23349465998148364,0.2891811179712833,0.01985137829151341,0.4574728437557197,0.0,0.0,70.0,360.9699224483617,1.572930108944965
5.2,deterministic,medium_60c_4v_seed3.json,medium,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,280.0692736907466,1218.522646999918,0.0,8.0,1.0,59.0,8.0,0.13559322033898305,73722.0,23.0,0.00031198285450747404,66.0,93.66930443954129,6.498327866842272,113.90164138436309,0.0,0.0,0.23565598300111068,0.3344504850716728,0.023202573353397368,0.40669095857381926,0.0,0.0,70.0,371.6958347366313,1.05958931998831
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,55.07502471296422,114.43552640010603,0.0,3.0,2.0,15.0,6.0,0.4,9646.0,6.0,0.0006220194899440182,22.0,11.760747349840061,2.494501573665036,18.819775789459126,0.0,0.0,0.39945510900190984,0.21354048248064925,0.04529279081880921,0.34171161769863173,0.0,0.0,73.33333333333333,59.56481749995562,0.0
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,55.32072250893386,141.55847520008683,0.0,3.0,1.3333333333333333,15.0,4.0,0.26666666666666666,9646.0,6.0,0.0006220194899440182,22.0,11.551388802725068,2.108819945167011,19.660513761041777,0.0,0.0,0.397680995515689,0.20880762721165852,0.0381198915980617,0.3553914856745907,0.0,0.0,73.33333333333333,59.201592056855134,0.2679963380835005
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,55.32699281692891,142.67824920010753,0.0,3.0,1.6666666666666667,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,10.454508662447347,2.6008787047881916,20.271605449693368,0.0,0.0,0.39763592561040945,0.18895855585428611,0.04700921868994797,0.3663962998453565,0.0,0.0,73.33333333333333,58.31044267079359,0.0
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,56.26215705960893,136.83634659997188,0.0,5.0,1.0,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,11.495868733880044,3.0638732061284526,19.70241511960043,0.0,0.0,0.3910266002899839,0.2043268394722289,0.05445708743236282,0.3501894728054243,0.0,0.0,73.33333333333333,59.75492747024314,0.02848737228010905
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,58.00771453031925,114.90081030013971,0.0,3.0,1.3333333333333333,15.0,4.0,0.26666666666666666,9646.0,6.0,0.0006220194899440182,22.0,16.44729436045734,2.7059368560132877,16.854483313848622,0.0,0.0,0.37925989979317537,0.28353632777345045,0.04664787912992088,0.2905558933034534,0.0,0.0,73.33333333333333,64.45908872162855,0.3884028829634885
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,58.58597927583684,138.2378805000335,0.0,5.0,1.0,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,13.52556821994215,3.5971490578041276,19.463261998090566,0.0,0.0,0.37551646779545533,0.23086698194905184,0.061399486741834375,0.33221706351365843,0.0,0.0,73.33333333333333,62.22979723113237,0.09277893839106613
5.2,deterministic,small_15c_1v_seed1.json,small,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,59.01902560694946,136.99555059988052,0.0,3.0,1.0,15.0,3.0,0.2,9646.0,6.0,0.0006220194899440182,22.0,15.286810402336048,2.556788201744294,19.17542700286912,0.0,0.0,0.37276115242081376,0.2590149573824213,0.04332142348082469,0.3249024667159402,0.0,0.0,73.33333333333333,63.389969917008486,0.12636169508788841
