instance,size,n_customers,n_vehicles,seed,E_avg_cost,D_avg_cost,C_avg_cost,delta_cost_D_vs_E_pct,delta_cost_C_vs_E_pct,delta_cost_C_vs_D_pct,E_worst_cost,D_worst_cost,C_worst_cost,E_avg_fail,D_avg_fail,C_avg_fail,delta_fail_D_vs_E_pct,delta_fail_C_vs_E_pct,E_cost_std,D_cost_std,C_cost_std,E_online_time,D_online_time,C_online_time,online_time_overhead_pct,C_win_rate_vs_E,D_win_rate_vs_E,paired_cost_C_vs_E,trial_count
small_16c_1v_seed3,Small,16,1,3,55.02525328326637,56.30814528630322,55.58172506128825,-2.3314604231489966,-1.0113025289628381,1.2900801852403916,78.37656668579965,79.11982613700141,78.37656668579965,4.37,4.34,4.12,0.6864986987417222,5.720822489514304,9.736642874672562,10.41454950761798,9.573236293346065,0.0007673230208456516,0.0013922509737312795,1.515160921062343,108650.10673809706,21.0,2.0,0.5564717780218583,100
small_18c_2v_seed1,Small,18,2,1,75.04635387024805,75.4833575533715,71.71453092589451,-0.5823116788312072,4.439686637027199,4.992923936660076,121.74897424684207,121.74897424684207,111.87466521421388,3.92,3.91,3.67,0.25510197573928645,6.3775493934822975,15.718374026640971,16.294446581090607,14.478364951441586,0.00040905496571213006,0.0008138790307566523,1.6732812820049003,205241.1879369606,73.0,1.0,-3.3318229443535596,100
small_18c_2v_seed2,Small,18,2,2,60.667336739423675,60.667336739423675,60.471409032925614,0.0,0.3229541908846325,0.3229541908846325,97.43510457701889,97.43510457701889,97.26918634635052,3.35,3.35,3.34,0.0,0.2985073735798953,13.75333921256221,13.75333921256221,13.417175484505856,0.0006059689400717616,0.0011028219992294907,1.5566490989597515,140923.6523684391,62.0,0.0,-0.19592770649806282,100
small_18c_2v_seed3,Small,18,2,3,67.99465689998755,67.99465689998755,67.68715557011436,0.0,0.45224337307193124,0.45224337307193124,117.06197838134824,117.06197838134824,116.75042561494803,4.09,4.09,4.05,0.0,0.9779948709059004,16.155935265855213,16.155935265855213,16.26152305669223,0.0009984569763764738,0.001868867021985352,1.3499027789896354,72092.50155855255,49.0,0.0,-0.30750132987316287,100
small_20c_2v_seed1,Small,20,2,1,73.34170034980004,73.34170034980004,72.02456437266096,0.0,1.7958896110358114,1.7958896110358114,116.35829183466352,116.35829183466352,114.89640441374556,5.28,5.28,5.05,0.0,4.356059781049291,15.428605146468998,15.428605146468998,14.61401247137467,0.0006617839448153972,0.0016014080122113228,1.1769491589209065,73348.84386197718,56.00000000000001,0.0,-1.3171359771390678,100
small_20c_2v_seed2,Small,20,2,2,89.00058504607681,89.38263611773974,88.02525989242628,-0.4292680452214282,1.0958637554411483,1.5186128808345372,138.5030880217945,138.5030880217945,137.0012936679027,4.58,4.58,4.64,0.0,-1.3100433820865893,20.29325493356744,20.339245764147268,19.25824317114172,0.00048673597630113365,0.0009165809908881783,2.494687908976339,271776.69903248426,56.00000000000001,0.0,-0.9753251536505221,100
small_20c_2v_seed3,Small,20,2,3,71.41346544514745,72.07530711344512,72.55217704430795,-0.926774333344778,-1.594533456768239,-0.6616273311360975,110.7102127971624,110.7102127971624,110.723427974354,5.31,5.28,5.33,0.5649716450147441,-0.37664776334317945,11.830766108529533,12.428577131844326,13.098196420451144,0.000621752948500216,0.0011748739425092936,2.2262901120306924,189230.76340477687,26.0,3.0,1.1387115991604528,100
medium_30c_2v_seed1,Medium,30,2,1,173.56319055028914,173.56319055028914,174.58666942477794,0.0,-0.5896865984335854,-0.5896865984335854,275.16492756348777,275.16492756348777,288.0919823791627,6.92,6.92,6.93,0.0,-0.14450864963747528,36.85887843129211,36.85887843129211,39.94004020176447,0.0009948868956416845,0.0019755130354315044,1.6895234169764444,85380.05435277052,57.99999999999999,0.0,1.0234788744887902,100
medium_30c_2v_seed2,Medium,30,2,2,198.73275033668463,204.31329447032311,202.5797422519094,-2.808064661805445,-1.9357614226680635,0.848477443872605,279.3083211835811,291.2321953223238,289.3838746901079,8.22,8.18,8.13,0.4866179456669278,1.0948903777505605,38.77327501706815,40.73120314693285,40.265390977999246,0.001546820979565382,0.0028513999981805683,3.0559077129885552,107034.64853939829,38.0,9.0,3.846991915224718,100
medium_30c_2v_seed3,Medium,30,2,3,163.30134962696718,164.0268405756951,164.92675855388353,-0.44426512725410916,-0.9953432293298904,-0.5486406828479589,240.37519167497052,245.96785870641156,239.08439893897054,6.05,6.07,6.18,-0.3305784577556345,-2.1487599754115725,27.892284308012986,28.35490372597653,28.393930384961315,0.000811174027621746,0.001736898017115891,1.5908522980613633,91438.93280236582,52.0,2.0,1.6254089269163954,100
